"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","Date","Change","","grade","Source Points","Early/Late","Weighted Grade","BridgeSceneControllerSuite","FactoryMethodSuiteA9","ObservablePainterSuite","ExtraCreditFactoryMethodSuiteA9","Public methods are in implemented interfaces","Normal credit view (0.0 if extra credit instead)","Extra credit view","BridgeSceneController","Clicking and pressing buttons in display works correctly","CommandInterpreter controller","CommandInterpreter controller issues commands correctly","CommandInterpreter view","CommandInterpreter view shows error property correctly","Menu item and button","Menu item and button result in some action in display","Progress bar or slider (max 2.0)","Progress bar or slider works","Animation shows function of command interpreter and correct output in all frames","Variables should have interface, not class, type","No magic numbers","Interactive Run","Illegal import or call","BridgeSceneControllerSuite","FactoryMethodSuiteA9","ObservablePainterSuite","ExtraCreditFactoryMethodSuiteA9","Public methods are in implemented interfaces","Normal credit view (0.0 if extra credit instead)","Extra credit view","BridgeSceneController","Clicking and pressing buttons in display works correctly","CommandInterpreter controller","CommandInterpreter controller issues commands correctly","CommandInterpreter view","CommandInterpreter view shows error property correctly","Menu item and button","Menu item and button result in some action in display","Progress bar or slider (max 2.0)","Progress bar or slider works","Animation shows function of command interpreter and correct output in all frames","Variables should have interface, not class, type","No magic numbers","Interactive Run","Illegal import or call"
"0","Fri Nov 02 14:58:33 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Fri Nov 02 15:00:27 EDT 2018","106.0","","106.0","","1.05","111.3","40.0","5.0","19.5","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"2","Fri Nov 02 15:03:02 EDT 2018","0.0","","106.0","","1.05","111.3","40.0","5.0","19.5","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"3","Fri Nov 02 15:07:42 EDT 2018","0.0","","106.0","","1.05","111.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Fri Nov 02 15:16:20 EDT 2018","10.5","","116.5","","1.05","122.3","40.0","5.0","30.0","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"5","Fri Nov 02 17:09:49 EDT 2018","0.0","","116.5","","1.05","122.3","40.0","5.0","30.0","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"6","Fri Nov 02 17:12:21 EDT 2018","-95.0","","21.5","","1.05","22.6","0.0","0.0","0.0","0.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"7","Fri Nov 02 17:13:23 EDT 2018","50.0","","71.5","","1.05","75.1","0.0","0.0","30.0","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"8","Fri Nov 02 17:21:16 EDT 2018","0.0","","71.5","","1.05","75.1","0.0","0.0","30.0","20.0","10.0","0.0","17.5","12.0","","3.0","","3.0","","1.0","","0.0","","","-10.0","-10.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"9","Fri Nov 02 17:26:56 EDT 2018","-71.5","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
